,categories,user_reviews
726,single-player;online pvp;shared/split screen pvp;online co-op;shared/split screen co-op;cross-platform multiplayer;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;includes level editor;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.94
728,single-player;shared/split screen pvp;shared/split screen co-op;downloadable content;steam achievements;full controller support;steam trading cards;captions available;steam cloud;stats,0.78
730,online pvp;cross-platform multiplayer;steam achievements;in-app purchases,0.72
731,single-player;online pvp;steam achievements;partial controller support;steam cloud,0.73
735,single-player;online pvp;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;requires agreement to a 3rd-party eula;digimon story cyber sleuth: complete edition eula,0.9
739,single-player;requires agreement to a 3rd-party eulaeula_rockstar,0.91
740,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;steam leaderboards;requires agreement to a 3rd-party eulaeula_20920,0.93
751,single-player;steam achievements;partial controller support;steam leaderboards;requires agreement to a 3rd-party eula;wolfenstein: the new order eula,0.91
754,single-player;steam achievements;steam trading cards;captions available;steam;vr collectibles,0.91
757,online pvp;online co-op;downloadable content;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.68
762,single-player;online pvp;shared/split screen pvp;steam achievements;full controller support;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together;requires agreement to a 3rd-party eula;lethal league blaze eula,0.96
766,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;yakuza kiwami eula,0.93
772,single-player;steam achievements;full controller support;steam cloud;remote play on tablet;remote play on tv,0.98
775,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;life is strange eula;life is strange eula us,0.95
778,single-player;steam achievements;full controller support;steam trading cards;captions available;steam cloud;steam leaderboards;remote play on tv;requires agreement to a 3rd-party eula;dead rising 3 eula,0.83
781,single-player;steam achievements;full controller support;in-app purchases;steam cloud;stats;requires agreement to a 3rd-party eula;fallout shelter eula,0.91
787,single-player;steam achievements;steam trading cards;steam cloud;remote play on tablet;requires agreement to a 3rd-party eula;tyranny eula,0.88
788,single-player;downloadable content;steam achievements,0.8
789,single-player;online pvp;steam achievements;full controller support;steam cloud;includes level editor;requires agreement to a 3rd-party eula;monster energy supercross - the official videogame 3 eula,0.96
